labels,total_transitions,horizontal_transitions,vertical_transitions,total_transitions_left,horizontal_transitions_left,vertical_transitions_left,total_transitions_right,horizontal_transitions_right,vertical_transitions_right,total_transitions_top,horizontal_transitions_top,vertical_transitions_top,total_transitions_bottom,horizontal_transitions_bottom,vertical_transitions_bottom
0,106,50,56,52,24,28,54,26,28,61,33,28,45,17,28
1,118,24,94,48,12,36,59,12,47,52,14,38,66,10,56
0,100,42,58,49,20,29,51,22,29,59,29,30,41,13,28
3,94,36,58,45,16,29,49,20,29,47,17,30,46,18,28
4,102,46,56,50,22,28,52,24,28,48,20,28,53,25,28
1,110,28,82,56,14,42,47,14,33,49,19,30,60,8,52
2,160,50,110,79,26,53,81,24,57,73,23,50,85,25,60
2,134,48,86,66,24,42,68,24,44,49,21,28,84,26,58
2,152,58,94,72,28,44,79,30,49,70,34,36,82,24,58
1,116,22,94,48,10,38,59,12,47,51,13,38,64,8,56
3,90,32,58,45,16,29,45,16,29,41,11,30,49,21,28
4,96,36,60,46,16,30,50,20,30,53,21,32,43,15,28
3,96,36,60,46,16,30,50,20,30,50,18,32,46,18,28
1,120,28,92,53,14,39,60,14,46,51,15,36,68,12,56
0,128,62,66,60,28,32,67,34,33,64,34,30,63,27,36
3,110,48,62,55,24,31,54,24,30,56,28,28,54,20,34
1,114,24,90,47,12,35,57,12,45,46,12,34,68,12,56
2,164,50,114,81,24,57,83,26,57,62,24,38,100,24,76
0,102,46,56,50,22,28,52,24,28,60,32,28,42,14,28
4,96,40,56,48,20,28,48,20,28,46,18,28,49,21,28
0,110,52,58,54,26,28,55,26,29,63,33,30,46,18,28
0,102,42,60,50,20,30,52,22,30,58,26,32,42,14,28
3,90,34,56,44,16,28,46,18,28,51,23,28,39,11,28
1,116,24,92,38,10,28,60,14,46,50,14,36,65,9,56
4,118,44,74,62,20,42,56,24,32,47,19,28,71,25,46
0,104,48,56,52,24,28,52,24,28,62,34,28,42,14,28
3,112,34,78,43,16,27,69,18,51,56,18,38,56,16,40
3,120,46,74,56,20,36,63,26,37,58,24,34,61,21,40
4,128,44,84,46,20,26,81,24,57,51,19,32,76,24,52
3,104,44,60,51,20,31,53,24,29,58,30,28,46,14,32
4,116,54,62,59,28,31,56,26,30,67,33,34,49,21,28
3,174,72,102,82,38,44,87,34,53,104,44,60,69,27,42
1,106,18,88,36,8,28,54,10,44,42,10,32,64,8,56
1,112,28,84,57,14,43,55,14,41,44,14,30,68,14,54
2,104,38,66,51,18,33,53,20,33,46,18,28,57,19,38
3,86,28,58,41,12,29,45,16,29,43,13,30,43,15,28
4,100,44,56,48,20,28,52,24,28,58,30,28,41,13,28
2,146,66,80,74,34,40,70,32,38,85,43,42,59,21,38
3,122,38,84,59,18,41,63,20,43,73,19,54,46,16,30
3,160,50,110,76,24,52,84,26,58,78,24,54,80,24,56
0,126,58,68,58,28,30,65,30,35,84,44,40,42,14,28
3,96,34,62,45,16,29,51,18,33,43,13,30,52,20,32
1,128,44,84,65,22,43,63,22,41,52,22,30,76,22,54
3,100,34,66,48,16,32,52,18,34,53,17,36,46,16,30
0,92,32,60,46,16,30,45,16,29,47,15,32,45,17,28
1,122,28,94,59,16,43,59,12,47,53,15,38,69,13,56
1,110,34,76,44,16,28,56,18,38,45,17,28,65,17,48
2,140,48,92,71,24,47,68,24,44,53,23,30,87,25,62
4,104,38,66,46,20,26,57,18,39,54,18,36,49,19,30
0,142,64,78,70,32,38,71,32,39,97,49,48,45,15,30
4,154,44,110,76,22,54,78,22,56,48,20,28,104,22,82
4,112,46,66,54,22,32,58,24,34,48,20,28,64,26,38
3,82,22,60,40,10,30,41,12,29,41,11,30,40,10,30
4,122,42,80,47,20,27,74,22,52,50,20,30,72,22,50
3,108,48,60,53,22,31,54,26,28,59,27,32,48,20,28
0,328,264,64,164,130,34,164,134,30,180,142,38,135,109,26
4,102,40,62,51,20,31,50,20,30,46,18,28,56,22,34
2,108,40,68,54,20,34,54,20,34,48,20,28,60,20,40
3,98,40,58,49,20,29,49,20,29,49,19,30,49,21,28
4,100,42,58,48,20,28,52,22,30,47,19,28,53,23,30
3,86,28,58,43,14,29,43,14,29,46,16,30,40,12,28
4,100,42,58,40,20,20,60,22,38,48,18,30,52,24,28
3,88,32,56,44,16,28,44,16,28,48,20,28,40,12,28
1,118,26,92,53,14,39,56,12,44,51,15,36,67,11,56
2,136,44,92,74,22,52,62,22,40,49,21,28,86,22,64
4,102,44,58,51,22,29,51,22,29,57,27,30,45,17,28
2,262,114,148,127,58,69,131,56,75,112,54,58,146,56,90
2,106,44,62,52,22,30,53,22,31,50,22,28,56,22,34
3,110,42,68,54,20,34,56,22,34,66,26,40,43,15,28
2,116,40,76,59,20,39,57,20,37,47,19,28,69,21,48
3,106,48,58,53,24,29,53,24,29,54,24,30,52,24,28
2,106,44,62,53,22,31,53,22,31,48,20,28,58,24,34
4,116,56,60,59,28,31,57,28,29,45,19,26,70,36,34
3,96,40,56,48,20,28,47,20,27,46,16,30,49,23,26
1,110,22,88,41,10,31,56,12,44,46,14,32,64,8,56
4,148,72,76,77,38,39,71,34,37,60,30,30,87,41,46
3,204,88,116,101,42,59,98,46,52,112,50,62,88,34,54
0,128,54,74,52,24,28,76,30,46,67,35,32,61,19,42
1,122,26,96,48,12,36,62,14,48,54,14,40,68,12,56
0,254,112,142,138,66,72,113,46,67,117,53,64,132,54,78
0,262,122,140,134,66,68,121,56,65,143,73,70,116,46,70
0,100,42,58,49,20,29,51,22,29,51,21,30,49,21,28
3,132,60,72,65,30,35,66,30,36,69,33,36,63,27,36
4,108,44,64,54,22,32,54,22,32,48,20,28,59,23,36
1,78,20,58,39,10,29,39,10,29,38,10,28,40,10,30
3,98,38,60,52,20,32,46,18,28,50,18,32,48,20,28
3,100,42,58,49,20,29,51,22,29,53,23,30,47,19,28
2,98,42,56,48,20,28,50,22,28,49,21,28,49,21,28
4,120,56,64,57,26,31,60,30,30,58,26,32,61,29,32
0,102,44,58,52,22,30,50,22,28,58,30,28,44,14,30
1,106,28,78,53,14,39,43,14,29,42,14,28,64,14,50
2,140,50,90,67,22,45,72,28,44,57,27,30,83,23,60
4,300,132,168,141,66,75,153,66,87,135,59,76,163,71,92
4,116,40,76,61,20,41,55,20,35,47,19,28,68,20,48
1,114,24,90,38,10,28,59,14,45,47,13,34,66,10,56
